epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8669,1.24288,1.72023,0.83425,0.06159,0.20236,0.05391,0.03625,1.11522,inf,0.81185,0.000405983,0.000405983,0.000405983
2,41.9588,1.15854,0.72315,0.81325,0.65585,0.52628,0.47484,0.26435,1.18122,0.95678,0.80993,0.000814505,0.000814505,0.000814505
3,64.7042,1.21821,0.67534,0.81518,0.75639,0.61603,0.59058,0.34774,1.15824,0.8097,0.81203,0.00121478,0.00121478,0.00121478
4,87.7044,1.22302,0.6624,0.81453,0.87419,0.55642,0.64358,0.37605,1.14823,0.80131,0.81063,0.00121287,0.00121287,0.00121287
5,109.967,1.19763,0.62018,0.81706,0.86537,0.59367,0.70758,0.42236,1.10005,0.5816,0.8106,0.0012005,0.0012005,0.0012005
6,132.237,1.11355,0.57743,0.81046,0.82639,0.64412,0.73088,0.43271,1.07504,0.56481,0.80886,0.00118812,0.00118812,0.00118812
7,155.16,1.16326,0.6079,0.80719,0.68318,0.62129,0.64734,0.36577,1.0915,0.64296,0.8093,0.00117575,0.00117575,0.00117575
8,176.333,1.18676,0.63662,0.81039,0.67397,0.61929,0.63541,0.3805,1.11251,0.59692,0.80808,0.00116337,0.00116337,0.00116337
9,196.725,1.09214,0.56199,0.80699,0.81216,0.58346,0.66335,0.40253,1.01939,0.54953,0.80371,0.001151,0.001151,0.001151
10,217.285,1.04604,0.52851,0.80223,0.82356,0.66077,0.74396,0.48351,0.94588,0.51349,0.79844,0.00113863,0.00113863,0.00113863
11,239.493,1.00777,0.50477,0.79725,0.80743,0.69647,0.76313,0.4909,0.86802,0.4494,0.79362,0.00112625,0.00112625,0.00112625
12,263.299,0.97664,0.49057,0.7972,0.91789,0.63548,0.74643,0.47427,0.9642,0.47676,0.79943,0.00111388,0.00111388,0.00111388
13,283.822,0.9902,0.49395,0.79837,0.76819,0.68515,0.71827,0.47325,0.91199,0.49036,0.79968,0.0011015,0.0011015,0.0011015
14,303.938,0.96345,0.49735,0.79607,0.82091,0.7025,0.76201,0.48618,0.891,0.45233,0.7916,0.00108913,0.00108913,0.00108913
15,324.313,0.93463,0.46104,0.79279,0.83094,0.70765,0.7577,0.51003,0.87744,0.46038,0.78967,0.00107675,0.00107675,0.00107675
16,347.233,0.94313,0.48243,0.79509,0.87117,0.6136,0.68909,0.43334,0.90176,0.47395,0.79565,0.00106437,0.00106437,0.00106437
17,367.739,0.94905,0.48697,0.79315,0.7968,0.66853,0.72457,0.47296,0.92658,0.47422,0.79396,0.001052,0.001052,0.001052
